STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720137,04867, 20190101,   33.0,24,   31.4,24, 9999.9, 0,  997.9,24,   8.1,24,   4.5,24,   9.9,  14.0,   37.6 ,  29.8 , 0.67G,999.9, 011000,
720137,04867, 20190102,   29.7,24,   27.6,24, 9999.9, 0, 1001.4,24,   8.6,24,   4.6,24,  14.0,  20.0,   30.9 ,  28.9 ,99.99 ,999.9, 001000,
720137,04867, 20190103,   29.5,24,   25.5,24, 9999.9, 0,  996.0,24,   9.9,24,   8.0,24,  13.0,  15.0,   39.7 ,  22.3 , 0.00I,999.9, 000000,
720137,04867, 20190104,   35.1,24,   30.0,24, 9999.9, 0,  989.5,24,   9.9,24,   5.5,24,  11.1, 999.9,   46.9 ,  26.8 , 0.00I,999.9, 000000,
720137,04867, 20190105,   36.7,24,   33.4,24, 9999.9, 0,  988.2,24,   8.4,24,   6.2,24,  12.0, 999.9,   52.3 ,  28.9 , 0.00I,999.9, 000000,
720137,04867, 20190106,   37.2,24,   33.7,24, 9999.9, 0,  998.7,24,   9.5,24,   6.1,24,  15.0,  18.1,   42.8 ,  31.6 , 0.00I,999.9, 000000,
720137,04867, 20190107,   45.5,24,   42.0,24, 9999.9, 0,  988.8,24,   9.8,24,  15.6,24,  24.1,  31.1,   55.6 ,  39.2 , 0.34B,999.9, 010000,
720137,04867, 20190108,   40.9,24,   36.8,24, 9999.9, 0,  987.8,24,   7.2,24,  11.3,24,  31.1,  38.1,   51.8 ,  33.4 , 0.03A,999.9, 100000,
720137,04867, 20190109,   24.5,24,   14.5,24, 9999.9, 0, 1000.5,24,  10.0,24,  17.0,24,  29.9,  38.1,   40.1 ,  19.0 , 0.00I,999.9, 000000,
720137,04867, 20190110,   19.0,24,   10.2,24, 9999.9, 0, 1007.8,21,  10.0,24,   2.8,24,   8.0, 999.9,   26.6 ,  14.0 , 0.00I,999.9, 000000,
